"filename", "language", "JavaScript", "JSON with Comments", "XML", "Markdown", "CSS", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\layouts\bottomNavbar.layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\layouts\topNavbar.layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\minor\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\minor\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\minor\style.module.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 0, 1, 6, 42
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\navigation\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 2, 16, 142
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\navigation\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\navigation\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\navigation\style.module.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\popups\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\popups\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\textboxes\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\components\textboxes\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\utils\axios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\utils\theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\core\utils\utils.state.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\account\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\account\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 139, 0, 0, 0, 5, 144
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\account\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\account\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\account\style.module.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\chats\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\chats\components\blackBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\chats\components\offeringCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
